Date,MKT,SMB,HML FF,HML devil,RMW,CMA,RF,MOM,STR
198712,6.81,0.06,-4.43,-0.0428,2.96,-2.42,0.39,5.87,5.8
198801,4.21,-0.51,5.01,0.0842,-1.14,2.13,0.29,-7.24,7.91
198802,4.75,3.32,-1.71,-0.0109,1.56,-0.01,0.46,-1.47,4.36
198803,-2.27,6.25,0.73,-0.0003,-0.25,1.8,0.44,0.58,-0.84
198804,0.56,1.16,1.67,0.005,-0.2,1.92,0.46,2.24,0.23
198805,-0.29,-2.56,2.42,0.0226,-0.74,0.33,0.51,0.63,0.65
198806,4.79,2.16,-1.24,-0.0032,1.47,-3.37,0.49,-2.93,1.87
198807,-1.25,-0.21,2.22,0.0208,-0.58,1.52,0.51,0.66,3.36
198808,-3.31,-0.03,2.15,0.0163,-0.82,1.76,0.59,0.35,-1.93
198809,3.3,-1.36,-0.75,-0.0081,1.76,-0.61,0.62,0.27,-0.12
198810,1.15,-2.95,2.05,0.0157,1.3,1.03,0.61,1.33,-1
198811,-2.29,-1.65,1.41,0.0094,-0.28,1.62,0.57,0.33,-0.67
198812,1.49,2.01,-1.69,-0.0131,0.69,-0.38,0.63,0.49,2.29
198901,6.1,-2.31,0.6,0.0074,-0.95,0.14,0.55,-0.16,0.97
198902,-2.25,2.71,1.01,0.0077,-0.87,1.81,0.61,0.99,1.07
198903,1.57,0.68,0.58,-0.0067,0.05,0.72,0.67,3.51,-0.89
198904,4.33,-0.78,-1.42,-0.0218,0.71,-0.57,0.67,1.77,-0.65
198905,3.35,-0.01,-0.88,-0.0182,0.49,-0.08,0.79,1.52,-2.74
198906,-1.35,-1.09,2.25,0.0314,0.27,1.56,0.71,0.43,2.3
198907,7.2,-4.15,-2.79,-0.0332,1.98,-0.58,0.7,5.41,1.43
198908,1.44,0.48,0.6,0.0051,0.39,-0.58,0.74,-0.12,1.85
198909,-0.76,0.49,-1.27,-0.021,1.4,0.5,0.65,3.4,1.17
198910,-3.67,-3.3,-1.11,-0.0166,0.11,-0.04,0.68,1.32,-4.32
198911,1.03,-1.29,-1.09,-0.0178,-0.86,1.41,0.69,2.6,-1.75
198912,1.16,-2.27,0.16,-0.0048,-0.07,1.42,0.61,2.8,-2.56
199001,-7.85,-1.31,0.85,0.0165,-1.17,1.35,0.57,-3.27,1.02
199002,1.11,1.17,0.64,-0.0089,-0.03,-0.66,0.57,-0.55,0.49
